PDB,Chain
1XW5,A
1XW5,B
5HWL,A
5HWL,B
6GIU,A
6GIU,B
6GJ0,B
2FS6,B
2FS7,B
5HZQ,A
4KXY,A
4KXY,B
4Q3F,A
4Q3F,B
4Q3F,C
6C5F,A
6C5F,C
7MSE,A
7MSE,B
7MSE,C
2C3N,A
2C3N,B
2C3N,C
2C3N,D
1PKX,B
1PKX,D
5UZ0,A
5UZ0,B
5UZ0,C
7KIZ,A
7KIZ,B
7KIZ,C
7KIZ,D
7KIZ,E
7KIZ,F
7KIZ,G
7KIZ,H
7KIZ,I
7KIZ,J
6I6T,A
6I6T,B
7DSF,A
1BKZ,A
1BKZ,B
3GAL,B
4GAL,A
4GAL,B
5H9Q,A
5H9S,A
5LE5,I
5LE5,W
5LEY,I
5LEY,W
5LF4,I
5LF4,W
4QYN,A
4QYN,B
4QYP,A
4QYP,B
4QYP,C
4QYP,D
4QZT,A
4QZT,B
4QZT,C
4QZT,D
4QZU,A
4QZU,B
4QZU,C
4QZU,D
6BTH,A
7JVG,A
7JVY,A
7JWD,A
7JZ5,A
3BUR,A
3BUR,B
3BUV,A
3BUV,B
3BV7,A
3BV7,B
3CAV,A
3CAV,B
3CMF,A
3CMF,B
3G1R,A
3G1R,B
1ONI,A
1XJB,B
4XO7,A
4XO7,B
4POC,B
6UP5,B
7LK3,A
7LK3,B
3H8K,A
5D1K,A
5D1L,A
5D1M,A
1AWQ,A
1AWR,A
1AWR,B
1AWR,C
1AWR,D
1AWR,E
1AWR,F
1BCK,A
1CWF,A
1CWH,A
1CWI,A
1CWO,A
1FGL,A
1M9D,A
1M9E,A
1M9F,A
1M9F,B
1M9X,A
1M9X,B
1M9X,E
1M9X,F
1M9Y,A
1M9Y,B
1M9Y,E
1M9Y,F
1YND,A
1YND,B
2XGY,B
6I42,A
1D6O,A
1D6O,B
1D7H,A
1D7H,B
1D7I,A
1D7I,B
1D7J,A
1D7J,B
1J4R,A
1J4R,B
1J4R,D
3FAP,A
6I1S,B
6VCU,A
6VCU,B
6VCU,C
6VCU,D
2GRN,A
1BAB,B
1BAB,D
1BBB,B
1BBB,D
1BZ0,B
1BZ0,D
1BZ1,B
1BZ1,D
1BZZ,B
1BZZ,D
1CBL,A
1CBL,B
1CBL,C
1CBL,D
1CBM,A
1CBM,B
1CBM,C
1CBM,D
1CLS,B
1CLS,D
1DXT,B
1DXT,D
1G9V,B
1G9V,D
1HBB,B
1HBB,D
1IRD,B
1J3Y,B
1J3Y,D
1J3Y,F
1J3Y,H
1J3Z,B
1J3Z,D
1J3Z,F
1J3Z,H
1J40,B
1J40,D
1J40,F
1J40,H
1J41,B
1J41,D
1J41,F
1J41,H
1K0Y,B
1K0Y,D
1KD2,B
1KD2,D
1QSH,B
1QSH,D
1QSI,B
1QSI,D
1QXE,B
1QXE,D
1R1Y,B
1R1Y,D
1RQ3,B
1RQ3,D
1SDK,B
1SDK,D
1SDL,B
1SDL,D
1THB,B
1THB,D
1UIW,B
1UIW,D
1UIW,H
1VWT,B
1VWT,D
1XXT,B
1XXT,D
1XY0,B
1XY0,D
1XZ2,B
1XZ2,D
1XZ7,B
1XZ7,D
2DN2,B
2DN2,D
2DN3,B
2W6V,B
2W6V,D
3D7O,B
3IC0,B
3IC0,D
3NMM,B
3NMM,D
3OO4,B
3QJB,B
3QJD,B
3QJD,D
4HHB,B
4HHB,D
4N8T,B
4ROL,B
4ROL,D
4ROM,B
4ROM,D
5KSI,B
5KSI,D
5UCU,B
5URC,B
5URC,D
5WOG,C
5WOG,D
5WOH,B
5WOH,D
6BNR,B
6BNR,D
6BWP,B
6BWP,D
6DI4,B
6DI4,D
6HK2,B
6HK2,D
6KA9,B
6KA9,D
6KA9,F
6KA9,H
6KAE,B
6KAE,D
6KAE,F
6KAE,H
6KAH,B
6KAH,D
6KAH,F
6KAH,H
6KAI,B
6KAI,D
6KAI,F
6KAI,H
6KAS,B
6KAS,D
6KAT,B
6KAT,D
6KAU,B
6KAU,D
6KAV,B
6KAV,D
6L5X,B
6L5X,D
6L5Y,B
6L5Y,D
6LCW,B
6LCW,D
6LCW,F
6LCW,H
6LCX,B
6LCX,D
6LCX,F
6LCX,H
6XDT,B
6XDT,D
7JY0,B
7JY0,D
7JY1,B
7JY1,D
7JY3,B
7JY3,D
1I3D,A
1I3D,B
1I3E,A
1I3E,B
1A01,A
1A01,C
1A3N,A
1A3N,C
1BBB,A
1BBB,C
1BUW,A
1BUW,C
1BZ0,A
1BZ0,C
1BZ1,A
1BZ1,C
1CLS,A
1CLS,C
1DXT,A
1DXT,C
1DXU,A
1DXU,C
1DXV,A
1DXV,C
1G9V,A
1G9V,C
1GBU,A
1GBU,C
1HBB,A
1HBB,C
1IRD,A
1J3Y,A
1J3Y,C
1J3Y,E
1J3Y,G
1J3Z,A
1J3Z,C
1J3Z,E
1J3Z,G
1J40,A
1J40,C
1J40,E
1J40,G
1J41,A
1J41,C
1J41,E
1J41,G
1K0Y,A
1K0Y,C
1KD2,A
1KD2,C
1NQP,A
1QSH,A
1QSH,C
1QSI,A
1QSI,C
1QXE,A
1QXE,C
1RQ3,A
1RQ3,C
1SDK,A
1SDK,C
1SDL,A
1SDL,C
1SHR,A
1SHR,C
1THB,A
1THB,C
1UIW,A
1UIW,C
1UIW,E
1UIW,G
1XXT,A
1XXT,C
1Y4G,A
1Y4G,C
1Y4P,A
1Y4P,C
1Y4V,A
1Y4V,C
1Y7D,A
1Y7D,C
1Y7Z,A
1Y7Z,C
1Y83,A
1Y83,C
1YE2,A
1YE2,C
1YVQ,A
1YVQ,C
1YVT,A
2D5Z,A
2D5Z,C
2D60,A
2D60,C
2DN2,A
2DN2,C
2DN3,A
2W6V,A
2W6V,C
3D7O,A
3DUT,A
3DUT,C
3IC0,A
3IC0,C
3NL7,A
3OO4,A
3QJE,A
3QJE,C
3S65,A
3S65,C
3WCP,A
3WCP,C
4HHB,A
4HHB,C
4L7Y,A
4L7Y,C
4MQG,A
4MQJ,A
4MQJ,C
4MQJ,E
4MQJ,G
4NI1,A
4ROL,A
4ROL,C
4ROM,A
4ROM,C
5E29,A
5E29,C
5E6E,A
5E83,A
5E83,C
5KSI,A
5KSI,C
5U3I,A
5U3I,C
5URC,A
5URC,C
6BNR,A
6BNR,C
6BWP,A
6BWP,C
6DI4,A
6DI4,C
6HK2,A
6HK2,C
6KA9,A
6KA9,C
6KA9,E
6KA9,G
6KAE,A
6KAE,C
6KAE,E
6KAE,G
6KAH,A
6KAH,C
6KAH,E
6KAH,G
6KAI,A
6KAI,C
6KAI,E
6KAI,G
6KAO,A
6KAP,A
6KAQ,A
6KAR,A
6KAS,A
6KAS,C
6KAT,A
6KAT,C
6KAU,A
6KAU,C
6KAV,A
6KAV,C
6L5V,A
6L5W,A
6L5X,A
6L5X,C
6L5Y,A
6L5Y,C
6LCW,A
6LCW,C
6LCW,E
6LCW,G
6LCX,A
6LCX,C
6LCX,E
6LCX,G
6XDT,A
6XDT,C
7JY0,A
7JY0,C
7JY1,A
7JY1,C
7JY3,A
7JY3,C
3ZCF,A
3ZCF,B
3ZCF,C
3ZCF,D
1QIP,B
1QIP,D
1EK6,A
1EK6,B
3G4E,A
3G4E,B
3G4H,A
3G4H,B
4GNB,A
4GNB,B
4GNC,A
4GNC,B
1PR9,A
1PR9,B
3D0N,A
3D0N,B
4HU1,B
4QSJ,A
5OGJ,B
3NR1,A
3NR1,B
2R2N,A
2R2N,B
2R2N,C
2R2N,D
6BEV,B
6K2Y,A
4OFC,A
4OFC,B
4OFC,C
4OFC,D
4OFC,E
4OFC,F
2XQQ,B
1UCF,A
1UCF,B
2AG5,A
2AG5,B
2AG5,C
2AG5,D
4ERC,A
4ERC,B
2CAR,B
5LXI,B
5LXI,D
6HOI,A
6HOI,B
6HOL,A
6HOL,B
6YOO,A
7AA9,A
7AA9,C
7AA9,E
7AA9,G
7AA9,K
7JHX,A
7JHX,B
1XCR,A
1XCR,B
6GWJ,K
5ZRT,A
5ZRT,B
3RWV,B
6XSA,A
1JKG,A
6B9X,B
